a	/ei/	art.一(个);每一(个);(同类事物中)任一个
bandage	/'bændidʒ/	n.绷带v.用绷带扎缚
bang	/bæŋ/	n.砰砰的声音;猛击v.砰地关上,猛撞,猛击
bank	/bæŋk/	n.银行;岸,堤;vi.存入(经营)银行;信赖
bankrupt	/'bæŋkrʌpt/	a.破产的;彻底缺乏的vt.使破产n.破产者
banner	/'bænə/	n.旗(帜)
banquet	/'bæŋkwit/	n.(正式的)宴会vi.参加宴会vt.宴情
bar	/bɑ:/	n.条,杆,闩;酒吧;栅,障碍(物)v.闩上,阻拦
barbecue	/'bɑ:bikju:/	n.烤肉;烤肉用的台架vt.炙烤(肉等)
barber	/'bɑ:bə/	n.理发师vt.为…理发修整vi.当理发师
bare	/bεə/	a.赤裸的,空的;稀少的,仅有的v.露出,暴露
barely	/'bεəli/	ad.赤裸裸地,无遮蔽地;仅仅,勉强,几乎没有
bargain	/'bɑ:ɡin/	n.廉价货;交易,契约,合同v.议价,成交
bark	/bɑ:k/	vi.(狗等)吠,叫n.吠声,叫声;树皮
barn	/bɑ:n/	n.谷仓,仓库vt.把…贮存入仓
barrel	/'bærəl/	n.桶;枪管,炮管
barren	/'bærən/	a.贫瘠的;不育的;(植物)不结果的;无用的
barrier	/'bæriə/	n.栅栏,屏障;障碍(物)vt.把…关入栅栏
base	/beis/	n.基础,底部;根据地v.(on)把…基于
baseball	/'beisbɔ:l/	n.棒球
basement	/'beismənt/	n.建筑物的底部,地下室,地窖
basic	/'beisik/	a.基本的,基础的
basin	/'beisən/	n.盆,脸盆;内海,盆地
basis	/'beisis/	n.基础,根据
basket	/'bɑ:skit,'bæs-/	n.筐,篮,篓
basketball	/'bɑ:skitbɔ:l,'bæs-/	n.篮球,篮球运动
bat	/bæt/	n.球拍,球棒,短棒;蝙蝠
batch	/bætʃ/	n.一批,一组,一群
bath	/bɑ:θ/	bæθ/n.沐浴,洗澡;浴室(池,盆)v.(给…)洗澡
bathe	/beið/	v.游泳,洗澡,浸,弄湿
bathroom	/'bɑ:θrum/	n.浴室;盥洗室,卫生间
battery	/'bætəri/	n.电池(组);(器具等的)一组,一套;炮兵连
battle	/'bætl/	n.战役,战斗;斗争v.战斗,斗争,搏斗
bay	/bei/	n.海湾,(港)湾
be	/强bi:,弱bi/	v.(就)是,等于;(存)在;到达,来到,发生
beach	/bi:tʃ/	n.海滩,湖滩,河滩
beam	/bi:m/	n.(横)梁,桁条;(光线的)束,柱v.微笑
bean	/bi:n/	n.豆;菜豆,蚕豆
bear	/bεə/	n.熊v.忍受,容忍;负担;结果实,生子女
beard	/biəd/	n.胡须
bearing	/'bεəriŋ/	n.轴承;忍受;关系,影响;举止;方向
beast	/bi:st/	n.兽,牲畜;凶残的人,举止粗鲁的人
beat	/bi:t/	n.敲打;(心脏等)跳动v.打败;(心脏等)跳动
beautiful	/'bju:tiful/	a.美的,美丽的;出色的,完美的
beauty	/'bju:ti/	n.美,美丽;美人,美丽的事物
because	/bi'kɔz/	conj.因为,由于
become	/bi'kʌm/	vi.变成,开始变得vt.适合,同…相称
bed	/bed/	n.床,床位;(苗)床,坛;河床,(湖、海的)底
bee	/bi:/	n.蜂,蜜蜂;忙碌的人
beef	/bi:f/	n.牛肉
beer	/biə/	n.啤酒
before	/bi'fɔ:/	prep.(指时间)在…以前,在..前面,在..之前
beforehand	/bi'fɔ:hænd/	ad.预先,事先
beg	/beɡ/	vt.请求,乞求vi.恳请,行乞
begin	/bi'ɡin/	v.(began,begun)开始,着手
beginning	/bi'ɡiniŋ/	n.开始,开端;起源,早期阶段
behalf	/bi'hɑ:f/	n.利益
behave	/bi'heiv/	v.举止,举动,表现;运转,开动
behavior	/bi'heivjə/	n.(behaviour)行为,举止;(机器等)运转情况
behind	/bi'haind/	prep.在...的背后,(遗留)在..后面;落后于
being	/'bi:ŋ/	n.生物,生命,存在;
belief	/bi'li:f/	n.信任,相信,信念;信仰,信条
believe	/bi'li:v/	vt.相信,认为vi.相信,信任,信奉
bell	/bel/	n.钟,铃
belly	/'beli/	n.肚子,腹部;(像肚子一样)鼓起的部分,膛
belong	/bi'lɔŋ/	v.(to)属于,附属,隶属;应归入(类别,范畴等)
beloved	/bi'lʌvid,-'lʌvd/	a./n.受爱戴的,敬爱的;爱人,被心爱的人
below	/bi'ləu/	prep.在…下面,在…以下ad.在下面,向下
belt	/belt/	n.(皮)带,腰带;地带
bench	/bentʃ/	n.长凳,条凳;(工作)台,座
bend	/bend/	v.(使)弯曲;屈从,屈服n.弯曲(处),曲折处
beneath	/bi'ni:θ/	prep.在…下边,在…之下ad.在下方
beneficial	/,beni'fiʃəl/	a.(to)有利的,有益的
benefit	/'benifit/	n.利益,好处,恩惠v.有益于;(from,by)受益
benign	/bi'nain/	a.(病)良性的,(气候)良好的,仁慈的,和蔼的
beside	/bi'said/	prep.在...旁边,在...附近;和...相比
besides	/bi'saidz/	ad.此外;并且prep.于…之外;除…以外
best	/best/	a.最好的(good和well最高级)ad.最好地;最
bet	/bet/	v.赌,打赌n.打赌,赌注
betray	/bi'trei/	v.背叛,出卖;暴露,流露,泄露
better	/betə/	a.较好的ad.更好(地)v.改良n.较佳者
between	/bi'twi:n/	prep.在…之间,在(两者)之间ad.在中间
beverage	/'bevəridʒ/	n.(水,酒等之外的)饮料
beware	/bi'wεə/	v.当心,谨防
bewilder	/bi'wildə/	v.使迷惑,难住
beyond	/bi'jɔnd/	prep.在(或向)...的那边,远于;超出;
bias	/'baiəs/	n./v.(使有)偏见,偏心,偏袒
Bible	/ˈbaɪbl/	n.圣经
bibliography	/,bibli'ɔɡrəfi/	n.(有关某一专题的)书目;参考书目
bicycle	/'baisikl/	n.(bike)自行车vi.骑自行车
bid	/bid/	v.祝愿;命令,吩咐;报价,投标n.出众,投标
big	/biɡ/	a.大的;重要的;宽宏大量的;大受欢迎的
bill	/bil/	n.账单;招贴,广告;(人员,职称等的)表;钞票
billion	/'biljən/	num./n.(美)十亿,(英)万亿
bin	/bin/	n.(贮藏食物等用的)箱子
bind	/baind/	v.捆,绑,包括,束缚
biography	/bai'ɔɡrəfi/	n.传记;传记文学
biology	/bai'ɔlədʒi/	n.生物学
bird	/bə:d/	n.鸟,雀;女人;嘘声
birth	/bɑ:θ/	n.出生,诞生;出身,血统;起源;出现
birthday	/'bə:θdei/	n.生日;(成方)纪念日
biscuit	/'biskit/	n.饼干,点心
bit	/bit/	n.一点,一些;小块,少量;片刻;/计/位,比特
bite	/bait/	v./n.咬,叮n.一口
bitter	/'bitə/	a.(有)苦(味)的;痛苦的,厉害的
bizarre	/bi'zɑ:/	adj.异乎寻常的,稀奇古怪的
black	/blæk/	a.黑(色)的;黑暗的n.黑(色);黑暗;黑人
blackboard	/'blækbɔ:d/	n.黑板
blackmail	/'blækmeil/	n.讹诈,敲诈,勒索;胁迫,恫吓
blade	/bleid/	n.刀刃,刀片;桨叶;草叶,叶片
blame	/'bleim/	v.责备;怪,把…归咎于n.责任,过错;责备
blank	/blæŋk/	a.空白的,空着的;失色的n.空白;表格
blanket	/'blæŋkit/	n.毯子(可数);厚厚一层(可数)vt.铺上一层
blast	/'baiəu,blæst/	n.一阵(风);爆炸冲击波;管乐器声v.爆炸
blaze	/bleiz/	n.火焰;火光;闪光,光辉v.燃烧,冒火焰
bleak	/bli:k/	a.荒凉的;冷酷的;没有希望的
bleed	/bli:d/	vt.使出血,榨取vi.出血,流血
blend	/blend/	n.混合(物)v.混和,混杂
bless	/bles/	v.祝福,保佑
blame	/'bleim/	v.责备;怪,把…归咎于n.责任,过错;责备
blind	/blaind/	a.盲的,瞎的;盲目的vt.使失明n.百叶窗
block	/blɔk/	n.大块木（石）料;街区;障碍物v.阻塞,拦阻
blood	/blʌd/	n.血液,血;血统,血亲;血气
bloody	/'blʌdi/	a.流血的,血腥的
bloom	/blu:m/	n.花(朵);开花(期)v.开花
blossom	/'blɔsəm/	n.花(簇);花期;青春vi.开花;展开;繁荣
blouse	/blauz/	n.女衬衣,短上衣,宽阔的罩衫
blow	/bləu/	vi.吹,吹气,打气;吹奏;爆炸;n.打,打击
blue	/blu:/	a.蓝色的;青灰色的;沮丧的,阴郁的n.蓝色
blueprint	/'blu:print/	n.蓝图,设计图,计划vt.制成蓝图,计划
blunder	/'blʌndə/	v.(因无知等而)犯大错;踉踉跄跄地走n.大错
blunt	/blʌnt/	a.率直的;钝的v.(使)钝;(使)迟钝
blur	/blə:/	n.模糊不清的事物;污点vt.使模糊;玷污
blush	/blʌʃ/	v./n.脸红
board	/bɔ:d/	n.板,木板;全体委员;伙食v.上船(车,飞机)
boast	/bəust/	v.(of,about)自夸,夸耀n.自夸,大话
boat	/bəut/	n.小船,艇
body	/'bɔdi/	n.身体,本体;主体;尸体;物体;(一)群,批,堆
boil	/bɔil/	v.(使)沸腾,煮(沸)
bold	/bəuld/	a.大胆的,勇敢的;冒失的;黑体的,粗体的
bolt	/bəult/	n.螺栓,(门,窗的)插销v.闩(门),关窗,拴住
bomb	/bɔm/	n.炸弹v.投弹于,轰炸
bond	/bɔnd/	n.结合(物),粘结(剂),联结;公债,债券,契约
bone	/bəun/	n.骨(骼)
bonus	/'bəunəs/	n.奖金,红利
book	/buk/	n.书,书籍vt.订(票,座位,房间等),预定
boom	/bu:m/	v.迅速发展,兴旺;发出隆隆声
boost	/bu:st/	n./vt.提升;增加;抬高（价格）;支援;
boot	/bu:t/	n.靴;(汽车后部的)行李箱;/the-/解雇
booth	/bu:ð,bu:θ/	n.电话亭,货摊
border	/'bɔ:də/	n.边界,国界;边(沿)v.交界,与…接壤;接近
bore	/bɔ:/	v.钻(孔),挖(洞);烦扰n.讨厌的人,麻烦事
born	/bɔ:n/	a.出生的,产生的;天生的,十足的
borrow	/'bɔrəu/	vt.借,借入;(思想、文字等)采用,抄袭
bosom	/'buzəm/	n.胸,胸部,乳房,胸怀;内心;a.亲密的,知心的
boss	/bɔs/	n.老板,上司vt.指挥,控制,发号施令
both	/bəuθ/	prep.两者(都),双方(都）adj.两个..(都)
bother	/'bɔðə/	vt.打扰,麻烦vi.担心,烦恼n.烦恼,焦急
bottle	/'bɔtl/	n.瓶(子)v.装瓶
bottom	/'bɔtəm/	n.底(部);基础,根基;海底,湖底,河床
bounce	/bauns/	n./vi.(球)弹起,弹回;弹起,跳起;n.弹力
bound	/baund/	v./n.跳(跃)a.被束缚的,一定的;n.界限
boundary	/'baundəri/	n.分界线,边界
bow	/bəu/	v./n.鞠躬,点头n.弓(形);蝴蝶结
bowel	/'bauəl/	n.肠;［pl.］内部,深处
bowl	/bəul/	n.碗(状物),钵
bowling	/'bəuliŋ/	n.保龄球运动
box	/bɔks/	n.盒,箱;包厢v.把…装箱;拳击,打耳光
boy	/bɔi/	n.男孩子,儿子;男性服务员
boycott	/'bɔikɔt/	n./v.(联合)抵制,拒绝参与
brace	/breis/	v.使防备;支撑;使(手,足,肩等)绷紧n.托架
bracket	/'brækit/	n.(方)括号
brain	/brein/	n.(大)脑,骨髓;(pl.)脑力,智能
brake	/breik/	v./n.制动(器),闸,刹车
branch	/brɑ:ntʃ,bræntʃ/	n.(树)条,分支;分店;(学科)分科,部门;支流
brand	/brænd/	n.商标,标记,牌子v.使铭记;打火印,打烙印
brandy	/'brændi/	n.白兰地酒
brass	/brɑ:s,bræs/	n.黄铜,铜器
brave	/breiv/	a.勇敢的v.勇敢地面对(危险等)
breach	/bri:tʃ/	n.违反,不履行;破裂vt.冲破,攻破
bread	/bred/	n.面包
breadth	/bredθ/	n.宽度,幅
break	/breik/	vt.打破;中止;违反vi.破(裂)n.休息时间
breakdown	/'breikdaun/	n.崩溃;衰竭;(关系、计划或讨论等的)中断
breakfast	/'brekfəst/	n.早餐v.(给某人)吃早餐
breast	/brest/	n.胸膛,乳房
breath	/breθ/	n.呼吸,气息
breathe	/bri:ð/	v.呼吸,吸入
breed	/bri:d/	v.(使)繁殖,生殖;产生;教养,抚养n.品种
breeze	/bri:z/	n.微风;轻而易举的事vi.来去匆匆,急速走
bribe	/braib/	n.贿赂v.向…行贿,买通
brick	/brik/	n.砖块,砖;v.用砖围砌,用砖填补
bride	/braid/	n.新娘
bridge	/bridʒ/	n.桥;桥牌;鼻梁vt.架桥;渡过
brief	/bri:f/	a.简短的,简洁的v.简短介绍,简要汇报
briefcase	/'bri:fkeis/	n.手提箱,公事皮包
bright	/brait/	a.明亮的,辉煌的;聪明的;欢快的,美好的
brilliant	/'briljənt/	a.光辉的,灿烂的;卓越的,有才华的
brim	/brim/	n.边缘,帽沿
bring	/briŋ/	v.拿来,带来;产生,引起;使处于某种状态
brisk	/brisk/	a.轻快的;生气勃勃的;兴隆的
brittle	/'britl/	a.易碎的;脆弱的;冷淡的;(声音)尖利的
broad	/brɔ:d/	a.宽的,广阔的;广大的;宽宏的,豁达的
broadcast	/'brɔ:dkɑ:st,-kæst/	v./n.广播(节目)
brochure	/'bruʃə/	n.小册子
bronze	/brɔnz/	n.青铜;青铜色,古铜色;青铜制品,铜牌
brookn.小溪vt.	/常用于否定句或疑问句/	容忍
broom	/bru:m/	n.扫帚
brother	/'brʌðə/	n.兄弟;同胞;教友
brow	/brau/	n.眉(毛);额
brown	/braun/	n./a.褐色(的),棕色(的)
browse	/brauz/	vi.随意翻阅,浏览;(牛、羊等)吃草
bruise	/bru:z/	n.青肿,挫伤;伤痕vt.打青;挫伤
rush	/brʌʃ/	n.刷(子),毛刷;画笔v.刷,擦,掸,拂;掠过
brutal	/'bru:təl/	a.残忍的;严峻的;严酷的
bubble	/'bʌbl/	n.泡,水泡,气泡v.冒泡,起泡,沸腾
bucket	/'bʌkit/	n.水桶,吊桶
bud	/bʌd/	n.芽,花苞v.发芽,含苞欲放
budget	/'bʌdʒit/	n.预算v.做预算
buffet	/'bʌfit/	n.自助餐
bug	/bʌɡ/	n.臭虫;小毛病;窃听器v.窃听
build	/bild/	vt.建造,建筑;建设,建立vi.增大,增强
building	/'bildiŋ/	n.建筑(物),房屋,大楼/同/structure
bulb	/bʌlb/	n.灯泡,球状物
bulk	/bʌlk/	n.体积,容积;主体,大批,大量,大块
bull	/bul/	n.公牛
bullet	/'bulit/	n.子弹,枪弹
bulletin	/'bulitin/	n.公报,公告,告示
bully	/'buli/	n.恃强欺弱者,小流氓vt.威胁,欺侮
bump	/bʌmp/	v.(against,into)碰;颠簸着前进n.碰撞
bunch	/'bʌntʃ/	n.(一)簇,束,捆,串
bundle	/'bʌndl/	n.捆,包,束
burden	/'bə:dən/	n.担子,重担,负担vt.给予负担或麻烦
bureau	/'bjuərəu/	n.署,局,司,处
bureaucracy	/bjuə'rɔkrəsi/	n.官僚主义,官僚机构;(非民选的)委任官员
burglar	/'bə:ɡlə/	n.(入室行窃的)盗贼
burn	/bə:n/	v.燃烧,烧着;烧毁;灼伤n.烧伤,灼伤
burst	/bə:st/	v.爆裂,炸破;突然发生n.突然破裂,爆发
bury	/'beri/	v.埋(葬),安葬;埋藏,遮盖
bus	/bʌs/	n.公共汽车,总线,信息通路
bush	/bʊʃ/	n.灌木(丛)
business	/'biznis/	n.商业,生意;事务,业务,职责
busy	/'bizi/	a.忙,忙碌的;热闹的,繁忙的;(电话)占线
but	/强bʌt,弱bət,bʌt/	conj.但是prep.除...以外ad.只,才,仅仅
butcher	/'butʃə/	n.屠夫,卖肉者
butter	/'bʌtə/	n.黄油,奶油v.涂黄油于…上
butterfly	/'bʌtəflai/	n.蝴蝶
button	/'bʌtən/	n.纽扣,按钮(开关)v.扣紧;扣上纽扣
buy	/bai/	vt.买,买得;向…行贿,收买vi.购买东西
by	/bai/	prep.被;凭借;经由;由于ad.在近旁;经过
bypass	/'baipɑ:s,-pæs/	n.(by-pass)旁道;vt.绕过
cab	/kæb/	n.出租车,出租马车;驾驶室vi.乘出租马车
cabbage	/'kæbidʒ/	n.洋白菜,卷心菜
cabin	/'kæbin/	n.客舱,机舱;小(木)屋
cabinet	/'kæbinit/	n.内阁,内阁会议;(带玻璃门存物品的)橱柜
cable	/'keibl/	n.电报;电缆;缆,索,钢丝绳v.拍电报
cafe	/ˈkæfeɪ/	n.咖啡馆,(小)餐馆
cafeteria	/,kæfi'tiəriə/	n.自助食堂
cage	/keidʒ/	n.笼,鸟笼;牢房,监狱
cake	/keik/	n.饼,糕,蛋糕;扁平的块状物
calcium	/'kælsiəm/	n.钙(化学符号Ca)
calculate	/'kælkjuleit/	v.计算,推算;计划,打算
calendar	/'kælində/	n.日历,月历
call	/kɔ:l/	vt.叫,喊;打电话vi.叫;访问n.叫;号召
calm	/kɑ:m,kɑ:lm/	a.(天气,海洋等)静的n.平静v.(使)平静
calorie	/'kæləri/	n.卡路里(食物所产生的热量或能量单位)
camel	/'kæməl/	n.骆驼
camera	/'kæmərə/	n.照相机,摄影机
camp	/kæmp/	n.野营,营地;帐篷,阵营v.设营,宿营
campaign	/kæm'pein/	n.战役;运动
campus	/'kæmpəs/	n.(大学)校园
can	/强kæn,弱kən/	aux.v.能;可以n.罐头;容器vt.把…装罐
canal	/kə'næl/	n.运河;(沟)渠
cancel	/'kænsəl/	v.取消,把…作废;删去,划掉
cancer	/'kænsə/	n.癌
candidate	/'kændideit,-dət/	n.候选人,候补者;报考者
candle	/'kændl/	n.蜡烛
candy	/'kændi/	n.糖果,vt.用糖煮
cannon	/'kænən/	n.大炮,火炮
canoe	/kə'nu:/	n.独木舟,小游艇
canteen	/kæn'ti:n/	n.(工厂、办公室等)食堂或小卖部
canvas	/'kænvəs/	n.帆布;帆布画布,(帆布)油画
cap	/kæp/	n.便帽,军帽;盖,罩,套v.覆盖于…顶端
capable	/'keipəbl/	a.有本领的,有能力的;(of)可以…的,能…的
capacity	/kə'pæsəti/	n.容量,容积;能量,能力;接受力
cape	/keip/	n.海角,岬;披肩,短披风
capital	/'kæpitəl/	n.首都;大写字母;资本a.主要的,大写字母的
capitalism	/'kæpitəlizəm/	n.资本主义
capsule	/'kæpsju:l/	n.胶囊;太空舱
captain	/'kæptin/	n.首领,队长;船长;上尉v.做…的首领,指挥
captive	/'kæptiv/	n.俘虏a.被俘虏的,被监禁的
capture	/'kæptʃə/	v./n.捕获,俘虏;夺得,攻占
car	/kɑ:/	n.汽车,车辆,车;(火车)车厢
carbohydrate	/,kɑ:bəu'haidreit/	n.碳水化合物;糖类;(plural)淀粉质或糖类
carbon	/'kɑ:bən/	n.碳
card	/kɑ:d/	n.卡片,名片;纸牌;纸片
cardinal	/'kɑ:dinəl/	n.(天主教的)红衣主教a.首要的,基本的
care	/kεə/	n.小心;关怀,照料v.(about)关心,介意,计较
career	/kə'riə/	n.(个人的)事业;专业,生涯,职业,经历
careful	/'kεəful/	a.小心的,仔细的;细致的,精心的
caress	/kə'res/	vt.／n.爱抚,抚摸
cargo	/'kɑ:ɡəu/	n.船货,货物
carpenter	/'kɑ:pəntə/	n.木工,木匠
carpet	/'kɑ:pit/	n.地毯
carriage	/'kæridʒ/	n.(四轮)马车;(火车)客车厢
carrier	/'kæriə/	n.搬运人;载体
carrot	/'kærət/	n.胡萝卜
carry	/'kæri/	v.运送,搬运;传送,传播;领,带
cart	/kɑ:t/	n.(二轮货运)马车,手推车
cartoon	/kɑ:'tu:n/	n.漫画,幽默画;动画片
carve	/kɑ:v/	v.(雕)刻
case	/keis/	n.箱,盒,容器;情况,事实;病例;案件
cash	/kæʃ/	n.现金,现款v.兑现,付(或收)现款
cashier	/kæ'ʃiə/	n.收银员,出纳员
cassette	/kæ'set/	n.盒子;盒式磁带
cast	/kɑ:s,kæst/	v.投,扔,掷,抛;铸造;投票;n.演员表
castle	/'kɑ:sl,'kæ-/	n.城堡;(国际象棋中的)车
casual	/'kæʒjuəl/	a.偶然的,碰巧的;临时的,非正式的
casualty	/'kæʒjuəlti/	n.伤亡人员;受害人;损失的东西;急诊室
cat	/kæt/	n.猫;猫科动物;
catalog	/'kætəlɔɡ/	n.（catalogue）目录(册)v.编目(录)
catastrophe	/kə'tæstrəfi/	n.大灾难;(悲剧)结局
catch	/kætʃ/	v.捕捉,捕获;赶上;感染;理解,听到
category	/'kætiɡəri/	n.种类,部属,类目;范畴,类型
cater	/'keitə/	vi.(for/to)满足,迎合;(for)提供饮食及服务
cathedral	/kə'θi:drəl/	n.大教堂
Catholic	/ˈkæθlɪk/	a.天主教的n.天主教徒
cattle	/'kætl/	n.牛;牲口,家畜
cause	/kɔ:z/	n.原因;事业,事件,奋斗目标v.使产生,引起
caution	/'kɔ:ʃən/	n.谨慎;注意(事项),警告vt.劝…小心
cautious	/'kɔ:ʃəs/	a.(of)小心的,谨慎的
cave	/keiv/	n.洞,穴
cease	/si:s/	v./n.停止,中止
ceiling	/'si:liŋ/	n.天花板;(规定价格、工资等的)最高限额
celebrate	/'selibreit/	vt.庆祝;颂扬,赞美vi.庆祝,过节
celebrity	/si'lebrəti/	n.名人,名流;著名,名声,名望
cell	/sel/	n.细胞;小房间;蜂房;电池
cellar	/'selə/	n.地窑,地下室
cement	/si'ment/	n.水泥;胶泥,胶接剂v.胶合;巩固,加强
cemetery	/'semitəri/	n.坟墓,墓地,坟场
census	/'sensəs/	n.人口普查(调查)
cent	/sent/	n.分(币);百percent百分之
centigrade	/'sentiɡreid/	n./a.摄氏温度计(的);百分度(的)
centimetre	/'senti,mi:tə/	n.(centimeter)厘米
central	/'sentrəl/	a.中心的,中央的,中枢的;主要的
centre	/'sentə/	n.中心,中央,中间vt.集中vi.以..为中心
century	/'sentʃuri/	n.世纪,(一)百年
cereal	/'siəriəl/	n.加工而成的谷类食物;谷类植物,谷物
ceremony	/'seriməuni/	n.典礼,仪式;礼节,礼仪
certain	/'sə:tən/	a.某,某一,某些;(of)一定的,确信的,可靠的
certainly	/'sə:tənli/	ad.一定,必定,无疑;当然,行
certainty	/'sə:tənti/	n.必然,肯定;必然的事
certificate	/sə'tifikeit/	n.证(明)书,执照
certify	/'sə:tifai/	vt.证明,证实;发证书(或执照)给
chain	/tʃein/	n.链(条);(pl.)镣铐;一连串v.用链条拴住
chair	/tʃεə/	n.椅子;(会议的)主席vt.当…的主席,主持
chairman	/'tʃεəmən/	n.主席,议长,会长,董事长
chalk	/tʃɔ:k/	n.粉笔,白垩
challenge	/'tʃælindʒ/	n.挑战(书);艰巨任务,难题v.向…挑战
chamber	/'tʃeimbə/	n.房间,室;会议室;议院;(动物体内)腔室
champagne	/,ʃæm'pein/	n.香槟酒;微黄色
champion	/'tʃæmpiən/	n.冠军,得胜者;拥护者,斗士
chance	/tʃɑ:ns,tʃæns/	n.机会;可能性;偶然性,运气v.碰巧,偶然发生
chancellor	/ˈtʃɑːnsələ(r)/	n.(英)大臣;法官;(德、奥)总理;大学校长
change	/tʃeindʒ/	n.改变,变化;零钱v.更换,调换,交换;改变
channel	/'tʃænəl/	n.海峡,水道;信道,波道;路线,途径
chaos	/'keiɔs/	n.混乱,紊乱
chap	/tʃæp/	n./v.(皮肤)变粗糙;发痛;n.小伙子
chapter	/'tʃæptə/	n.章;回,篇
character	/'kærəktə/	n.性格,品质,特性;人物,角色;字符,(汉)字
characteristic	/,kærəktə'ristik/	a.(of)特有的,独特的n.特征,特性
characterize	/'kærəktəraiz/	v.(characterise)表示…的特性;描述…特性
charge	/tʃɑ:dʒ/	v.索(价);控告;充电n.(pl.)费用,代价;电荷
charity	/'tʃærəti/	n.慈善(团体),仁慈,施舍
charm	/tʃɑ:m/	n.吸引力,魅力v.迷人,(使)陶醉;施魔法于
chart	/tʃɑ:t/	n.图表;航海图;航行图vt.绘图表,制图表
charter	/'tʃɑ'tə/	v.租船,租车,租用飞机;n.宪章,特许状
chase	/tʃeis/	v./n.追逐,追求
chat	/tʃæt/	v./n.闲谈,聊天
cheap	/tʃi:p/	a.便宜的;低劣的,不值钱的
cheat	/tʃi:t/	v.欺骗;作弊n.骗子;欺诈,欺骗行为
cheek	/tʃi:k/	n.面颊,脸
cheer	/tʃiə/	v.(使)振奋,(使)高兴v./n.喝彩,欢呼
cheese	/tʃi:z/	n.干酪,乳酪
chef	/ʃef/	n.(餐馆等的)厨师长,厨师
chemical	/'kemikəl/	a.化学的n.(pl.)化学制品,化学药品
chemist	/'kemist/	n.化学家;药剂师
chemistry	/'kemistri/	n.化学
cheque	/tʃek/	n.(check)支票,空白支票;总收入
cherish	/'tʃeriʃ/	vt.抱有,怀有(希望等);爱护,抚育;珍爱
cherry	/'tʃeri/	n.樱桃(树)
chess	/tʃes/	n.棋,国际象棋
chest	/tʃest/	n.胸腔,胸膛;箱,柜
chew	/tʃu:/	v.咀嚼;思量
chicken	/'tʃikin/	n.鸡肉;鸡,小鸡,小鸟
chief	/tʃi:f/	a.主要的,首要的n.首领,领袖
child	/tʃaild/	n.(/pl./children)小孩,儿童,儿女
childhood	/'tʃaildhud/	n.幼年,童年
chill	/tʃil/	n.寒冷,寒气,寒战v.使寒冷
chimney	/'tʃimni/	n.烟囱
chin	/tʃin/	n.下巴,颏
china	/ˈtʃaɪnə/	n.瓷器
chip	/tʃip/	n.切屑,碎片;(土豆等的)薄片;集成电路块
chocolate	/'tʃɔkəlit/	n.巧克力(糖),赭色
choice	/tʃɔis/	n.选择(机会),抉择,选择项;入选者a.精选的
choke	/tʃəuk/	v.窒息,噎住;闷塞,堵塞,阻塞
choose	/tʃu:z/	v.选择,挑选;甘愿
chop	/tʃɔp/	v.砍,劈,斩n.排骨,肉块
chorus	/'kɔ:rəs/	n.合唱队;合唱v.异口同声地说,随声附和
Christ	/kraɪst/	n.基督,救世主,耶稣
Christian	/ˈkrɪstʃən/	n.基督教徒a.基督教徒的
Christmas	/ˈkrɪsməs/	n．圣诞节
chronic	/'krɔnik/	a.(疾病)慢性的;积习难改的;严重的,坏的
church	/tʃə:tʃ/	n.教堂;教会,教派;（宗教的）礼拜仪式
cigar	/si'ɡɑ:/	n.雪茄烟
cigaret	/,siɡə'ret,'siɡ-/	n.(cigarette)香烟,纸烟,卷烟
cinema	/'sinəmə/	n.电影院;电影,影片
circle	/'sə:kl/	n.圆,圆周;集团;周期,循环v.环绕,旋转
circuit	/'sə:kit/	n.环行,周线,巡回;电路,线路
circular	/'sə:kjulə/	a.圆(形)的,环形的;循环的n.传单,通报
circulate	/'sə:kjuleit/	v.(使)循环,(使)流通
circumference	/sə'kʌmfərəns/	n.圆周,周围,胸围
circus	/'sə:kəs/	n.马戏团,杂技团;马戏场,杂技场
cite	/sait/	v.引用,引证,举(例)
citizen	/'sitizən/	n.公民;市民,居民
city	/'siti/	n．城市;都市;市
civil	/'sivəl/	a.公民的,市民的;民间的;民用的;有礼貌的
civilian	/si'viljən/	n.平民a.平民的;民用的
civilization	/,sivilai'zeiʃən,-li'z-/	n.(=civilisation)文明,文化
civilize	/'sivilaiz/	v.(=civilise)使文明,开化
claim	/kleim/	v.要求;声称;索赔n.要求;断言;索赔;权利
clap	/klæp/	v.拍手,拍,轻拍n.拍(手),掌声,霹雳声
clarify	/'klærifai/	v.澄清,阐明
clarity	/'klærəti/	n.清晰,明晰
clash	/klæʃ/	v./n.碰撞n.碰撞声
clasp	/klɑ:sp,klæsp/	n.扣子,钩子;握手v.扣住,钩住;紧握,紧抱
class	/klɑ:s,klæs/	n.班级,年级;种类,等级,阶级;(一节)课
classic	/'klæsik/	n.(pl.)杰作,名著a.第一流的,不朽的
classical	/'klæsikəl/	a.经典的,古典(文学)的
classification	/,klæsifi'keiʃən/	n.分类,分级
classify	/'klæsifai/	v.分类,分等(级)
classmate	/'klɑ:smeit/	(名)同班同学
classroom	/'klɑ:srum/	n.教室,课堂
clause	/klɔ:z/	n.(正式文件或法律文件的)条款;从句,分句
claw	/klɔ:/	n.爪,脚爪
clay	/klei/	n.粘土,泥土
clean	/kli:n/	a.清洁的,干净的v.除去..污垢,把...弄干净
